Learning Rate,No. Estimators,Subsample,Criterion,Tree Depth,Val. Macro F1,Val. Micro F1,Val. Weighted F1
22,0.01,50,0.3,squared_error,3,0.7198986767896811,0.9160908193484699,0.9044521744760234
23,0.01,50,0.3,squared_error,4,0.7321681559617014,0.9200394866732478,0.9096329609779241
24,0.01,50,0.4,friedman_mse,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
25,0.01,50,0.4,friedman_mse,2,0.6211932353506254,0.8963474827245804,0.871761431658577
26,0.01,50,0.4,friedman_mse,3,0.7320742686923883,0.9195459032576505,0.9090971136532998
27,0.01,50,0.4,friedman_mse,4,0.7317365128394501,0.9210266535044422,0.9113915240437682
28,0.01,50,0.4,squared_error,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
29,0.01,50,0.4,squared_error,2,0.6211932353506254,0.8963474827245804,0.871761431658577
30,0.01,50,0.4,squared_error,3,0.7327698984022861,0.9195459032576505,0.9090034443632119
31,0.01,50,0.4,squared_error,4,0.7337543602107265,0.9200394866732478,0.9100781855795306
32,0.01,50,0.5,friedman_mse,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
33,0.01,50,0.5,friedman_mse,2,0.609722884921911,0.8943731490621916,0.8677787287670483
34,0.01,50,0.5,friedman_mse,3,0.7307466302414887,0.920533070088845,0.9107029889241974
35,0.01,50,0.5,friedman_mse,4,0.7305410996904743,0.9210266535044422,0.9114642605462059
36,0.01,50,0.5,squared_error,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
37,0.01,50,0.5,squared_error,2,0.609722884921911,0.8943731490621916,0.8677787287670483
38,0.01,50,0.5,squared_error,3,0.7299835849494908,0.9200394866732478,0.9102525383254206
39,0.01,50,0.5,squared_error,4,0.7118866633223664,0.9220138203356367,0.9158969252758833
40,0.01,50,0.6,friedman_mse,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
41,0.01,50,0.6,friedman_mse,2,0.6120663182606905,0.8948667324777887,0.868392294076293
42,0.01,50,0.6,friedman_mse,3,0.7298983910609261,0.918558736426456,0.9081529171504243
43,0.01,50,0.6,friedman_mse,4,0.7356709002245206,0.922507403751234,0.9134107162317489
44,0.01,50,0.6,squared_error,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
45,0.01,50,0.6,squared_error,2,0.6120663182606905,0.8948667324777887,0.868392294076293
46,0.01,50,0.6,squared_error,3,0.7251294973671178,0.9170779861796644,0.9061055910152851
47,0.01,50,0.6,squared_error,4,0.7329744525647854,0.9220138203356367,0.9128259859730692
48,0.01,50,0.7,friedman_mse,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
49,0.01,50,0.7,friedman_mse,2,0.6238529029813153,0.8973346495557749,0.8712580456085848
50,0.01,50,0.7,friedman_mse,3,0.7292736723700524,0.918558736426456,0.9081949565924642
51,0.01,50,0.7,friedman_mse,4,0.7103604530097222,0.9239881539980257,0.9203051354024988
52,0.01,50,0.7,squared_error,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
53,0.01,50,0.7,squared_error,2,0.6238529029813153,0.8973346495557749,0.8712580456085848
54,0.01,50,0.7,squared_error,3,0.7292736723700524,0.918558736426456,0.9081949565924642
55,0.01,50,0.7,squared_error,4,0.7225675178651786,0.9230009871668311,0.9155655868925422
56,0.01,50,0.8,friedman_mse,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
57,0.01,50,0.8,friedman_mse,2,0.6236443562036093,0.8973346495557749,0.8714092257577704
58,0.01,50,0.8,friedman_mse,3,0.7298983910609261,0.918558736426456,0.9081529171504243
59,0.01,50,0.8,friedman_mse,4,0.7060723135040143,0.922507403751234,0.9187972130718074
60,0.01,50,0.8,squared_error,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
61,0.01,50,0.8,squared_error,2,0.6236443562036093,0.8973346495557749,0.8714092257577704
62,0.01,50,0.8,squared_error,3,0.7298983910609261,0.918558736426456,0.9081529171504243
63,0.01,50,0.8,squared_error,4,0.708663233646483,0.9234945705824285,0.9200092941567382
64,0.01,50,0.9,friedman_mse,1,0.5904753547976134,0.8993089832181639,0.8804781862527697
65,0.01,50,0.9,friedman_mse,2,0.6236443562036093,0.8973346495557749,0.8714092257577704
66,0.01,50,0.9,friedman_mse,3,0.7314925203749842,0.9195459032576505,0.9090740366994621
